Tempo_Decorrido_em_Dias,Indice_de_Desperdicio,Preço_unidade,Numero_Incial_de_Lazies,Numero_Inicial_de_Normals,Numero_Incial_de_Renders,Tipo_de_Cliente,Tempo_Maximo_de_Espera,Tempo_de_Espera,Quantidade_Encomendada,Recebida
12.0,0.07,1.5,0,3,1,NOPATIENT,22000,11472,566,sim
13.0,0.07,1.5,0,3,1,PATIENT,31000,12647,416,sim
17.0,0.07,1.5,0,3,1,PATIENT,28000,16476,370,sim
18.0,0.07,1.5,0,3,1,PATIENT,38000,17320,515,sim
20.0,0.07,1.5,0,3,1,NORMAL,9000,4125,162,sim
23.0,0.07,1.5,0,3,1,NOPATIENT,41000,22592,1085,sim
24.0,0.07,1.5,0,3,1,NORMAL,42000,23647,803,sim
25.0,0.07,1.5,0,3,1,NORMAL,20000,9080,387,sim
26.0,0.07,1.5,0,3,1,NORMAL,22000,10088,430,sim
26.0,0.07,1.5,0,3,1,NORMAL,30000,25319,586,sim
